"Bevolking op 1 januari en gemiddeld; geslacht, leeftijd en regio";;;;;
Perioden: 2020;;;;;
Regio's: Nederland;;;;;
Onderwerp: |Bevolking op 1 januari;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;
Burgerlijke staat: Totaal burgerlijke staat;;;;;
;;;;;
Leeftijd;aantal;;;verspreiding over categorien met max 200 personen in netlogo;
Totaal;17407585;17407585;;17407.585;
0 jaar;169497;;;;
1 jaar;169918;;;;
2 jaar;171951;;;;
3 jaar;175319;;;;
4 jaar;174787;;;;
5 jaar;179581;;;;
6 jaar;176215;;;;
7 jaar;180969;;;;
8 jaar;184787;;;;
9 jaar;189871;1772895;;101.846120527345;102
10 jaar;190581;;;;
11 jaar;191201;;;;
12 jaar;187633;;;;
13 jaar;190949;;;;
14 jaar;192840;;;;
15 jaar;198577;;;;
16 jaar;205420;;;;
17 jaar;207149;;;;
18 jaar;213523;;;;
19 jaar;224489;2002362;;115.028132851283;115
20 jaar;222532;;;;
21 jaar;221651;;;;
22 jaar;216297;;;;
23 jaar;216448;;;;
24 jaar;217657;;;;
25 jaar;224513;;;;
26 jaar;224987;;;;
27 jaar;227651;;;;
28 jaar;230336;;;;
29 jaar;231478;2233550;;128.309010124035;128
30 jaar;224067;;;;
31 jaar;221567;;;;
32 jaar;221012;;;;
33 jaar;220272;;;;
34 jaar;215185;;;;
35 jaar;211608;;;;
36 jaar;205694;;;;
37 jaar;206135;;;;
38 jaar;209787;;;;
39 jaar;212604;2147931;;123.390522005206;123
40 jaar;205400;;;;
41 jaar;205351;;;;
42 jaar;202233;;;;
43 jaar;203832;;;;
44 jaar;205192;;;;
45 jaar;214175;;;;
46 jaar;221397;;;;
47 jaar;239141;;;;
48 jaar;250414;;;;
49 jaar;260941;2208076;;126.845625053676;127
50 jaar;266187;;;;
51 jaar;254922;;;;
52 jaar;251934;;;;
53 jaar;252798;;;;
54 jaar;255985;;;;
55 jaar;259958;;;;
56 jaar;255085;;;;
57 jaar;249709;;;;
58 jaar;246676;;;;
59 jaar;239164;2532418;;145.477847731319;145
60 jaar;236163;;;;
61 jaar;228921;;;;
62 jaar;223075;;;;
63 jaar;218121;;;;
64 jaar;211518;;;;
65 jaar;207231;;;;
66 jaar;202623;;;;
67 jaar;201498;;;;
68 jaar;192697;;;;
69 jaar;191999;2113846;;121.432467513443;121
70 jaar;192332;;;;
71 jaar;195686;;;;
72 jaar;202910;;;;
73 jaar;206012;;;;
74 jaar;144279;;;;
75 jaar;147609;;;;
76 jaar;136821;;;;
77 jaar;123046;;;;
78 jaar;113620;;;;
79 jaar;112104;1574419;;90.4444240829501;90
80 jaar;103556;;;;
81 jaar;96472;;;;
82 jaar;85299;;;;
83 jaar;79209;;;;
84 jaar;71520;;;;
85 jaar;64712;;;;
86 jaar;57004;;;;
87 jaar;51687;;;;
88 jaar;44320;;;;
89 jaar;38478;;;;
90 jaar;30638;;;;
91 jaar;25338;;;;
92 jaar;19731;;;;
93 jaar;15653;;;;
94 jaar;11758;;;;
95 jaar of ouder;26713;822088;;47.225850110742;49
95 jaar;8855;;;;
96 jaar;6362;;;;
97 jaar;4374;;;;
98 jaar;2833;;;;
99 jaar;1891;;;;
100 jaar;1074;;;;
101 jaar;590;;;;
102 jaar;357;;;;
103 jaar;185;;;;
104 jaar;90;;;;
105 jaar of ouder;102;26713;;;
Bron: CBS;;;;test pop size;1000
